"","Cell.Type","Cluster","CD45","CD196_CCR6","CD19","CD127_IL-7Ra","CD38","CD33","IgD","CD11c","CD16","CD194_CCR4","CD34","CD123_IL-3R","TCRgd","CD185_CXCR5","CD3","CD45RA","CD123","CD27","CD284","CD28","CD95","CD66b","CD183_CXCR3","CD161","CD45RO","CD24","CD197_CCR7","CD8","CD25_IL-2Ra","CD71","CD20","HLADR","CD4","CD14","CD56_NCAM","CD11b","Frequency","Percentage","Cell.Subtype"
"1","B Cells",1,4.62950885142433,0.482530204673685,4.20693136843374,0.173550050808389,2.25724090943528,0.230499028651733,0,0.366348288945732,0,0,0.0986826803739044,0,0,0.145687037588515,0,4.18600155121611,0.0144989059726274,2.00818099332239,0.0769760165083774,0.00813928498337841,0.4336577140597,0.279140330199351,0.198720572919518,0,0.185043469258578,1.44555033717632,2.92187456697908,0.328177284944185,1.68378977093439,0.732205622204052,3.47219540937704,4.39667823522601,1.502730687692,0.22157776832627,0,0,13,0.0844375162379839,"B Cells, Unclassified"
"2","B Cells",10,4.9987031982531,2.14639267626739,4.31190662851803,0.607831069560399,3.3948478430483,0.50708408954157,5.08352021508859,0.506209555063763,0.413520655776208,0,0.108504870914145,0.0999295893983483,0,0.25663811727751,0.0119200305095752,4.43488627731626,0.296790684763031,0.508861269980921,0.17725844968937,0.179875188954849,0.232200099707567,1.69182161846589,0.252555946057129,0.0265647965206758,0,1.28556155630663,2.91106579454696,0.159297255018859,0.215488260740975,0.561477201442522,4.21311984018213,4.56331122856551,1.34259453995343,0.189697956708075,0.00202763779849583,0.086573390150247,11,0.0714471291244479,"B Cells, Naive"
"3","B Cells",11,4.90809794739364,0.879048340937601,4.56550723134137,0.240944703738941,0.163429549573013,0.144968263310207,3.051966827334,0.259103479970274,0.010682326046127,0,0.0313404243908615,0,0,0.189387725010454,0.225797688022305,5.24216275946563,0.208810610819655,2.64208606179939,0,0.108749758743013,0.874987213858076,0.473504586057151,0.18761580580176,0,0,2.2524020562972,2.62194036132686,0.224275049801236,1.70782240559084,0.408229437301034,4.17260581529616,4.83494570376241,1.34531216059494,0.0669064900024629,0.0668622669418672,0.0351194187401022,19,0.123408677578592,"B Cells, Memory Resting"
"4","B Cells",12,4.98789134260002,2.6257632807349,4.18963693373373,0.372866793561632,4.66447355039977,0.708296888093799,5.15116618524859,0.518616663017911,0.0938679534028956,0,0.101895652926627,0.179886042815548,0,1.60473542380627,0,4.69007567510773,1.48384099464787,0.541501461649196,0.00537853000812209,1.17476024794107,0.115266729680627,1.67581472364171,0.0282778917184343,0,0,2.76556310073207,0.679937226204955,0.00522267485585474,0,0.491792874256781,4.63641772019885,4.46044488203464,0.783563305463243,0.152794999136209,0.00775147668469456,0.157864302001549,16,0.103923096908288,"B Cells, Transitional"
"5","B Cells",13,5.2103851505824,1.46155700226309,5.60791977769963,0.599458877400112,0.422702030002625,0.245477813052602,4.45091478655349,3.29911389147579,0.279057729687837,0.0791511997558475,0.275589937461095,0.0984425495565778,0.0582531043073977,0.091084689360449,0.281638781489134,4.97883033610916,0.0282527281129078,1.99544753147122,0.000250168995738487,0.0316463014350463,2.59493561234693,0.483340670538421,0.286433574904144,0,0.0219481085831321,0.365497236723386,0.257642509379504,0,0,0.557284454713897,5.21428784717978,4.74715404189537,1.40398746959311,0,0.176530001286956,0.0625718710985259,14,0.0909327097947519,"B Cells, Naive"
"6","B Cells",14,5.68555311969509,1.52019984192026,5.02720807270333,0.198844104607933,0.363649203153322,0.108020740947135,2.9085406894145,1.7384350832054,0.142634794329894,0,0.00752825629504509,0,0.157176532310431,0.921835546659315,0.119315480957948,5.94239261887023,0.66502043493687,2.94452576083818,0.928327481931055,0,2.87008778356671,0.251403263906057,0.127212858098313,0,0,3.71413006534546,1.97507454386557,0.108653660242328,0.9104221435115,0.409993962314908,4.79549705190913,4.79182516573155,1.85112608945708,0.219251814755162,0.129248997672373,0.120997112032545,9,0.0584567420109119,"B Cells, Memory Resting"
"7","B Cells",15,4.96910379708367,2.06659551686752,4.8617213690932,0.57723524212965,2.89057358612854,0.384972778404122,0.0453899761499873,1.39367259218845,0.245500201261828,0,0.0763619522233938,0.03539055883179,0,2.59164616797143,0.162141804404796,4.99008114061258,0.0746854453023921,2.96396164331567,0,0.484449555924811,2.40913273372765,0.410845236455902,0.506552897808174,0,0.16321314831654,1.25863530597198,2.77178453662673,0.0628111805897457,2.21630038480261,2.0389271569953,3.80214242118167,4.64258618433849,1.71607873328859,0.16975169470895,0.000629377757701285,0.0248167116641149,18,0.116913484021824,"B Cells, Memory"
"8","B Cells",16,4.99919472672038,0.485630039899949,4.48154216005984,0,3.05572164569079,0.179482620989921,0.837671240969208,0,0,0.0420510536532058,0.179591440983674,0.142663363729724,0,0.16942072416148,0.142033051803587,5.16255721968707,0.335027126990968,1.83460317894498,0.04579657289965,0.271851765919454,2.47782501097824,0,0.393995249051878,0.078204214438559,0.481564509529882,3.57067073463809,1.03858286438945,0,0.61283300709521,0.783186247526392,4.33154590506532,3.96578281439378,1.13420576800185,0.333117021401632,0.330450331344423,0,7,0.0454663548973759,"B Cells, Transitional"
"9","B Cells",17,5.30113050572179,1.02820198426456,4.85057740468441,0.408919694958654,0.488660342677467,0.207095087135419,0.0707136639451444,1.16565999069783,0.024310185867233,0.140680272344759,0.145944752186338,0.0340045849532239,0.0202202498993296,0.701740029444083,0.0655386034044568,5.50231542770786,0.483605145312054,3.7407197445437,0.0155017529742456,0.637559834274348,4.3129650325008,0.797451977398521,0.64451245954606,0.0355188358407986,0.152117624705602,1.38380245790164,2.49972287368203,0.412909571449934,0.0431683983497097,3.35533294977378,4.10616159264696,4.33313434462379,1.06702815708805,0.32536021993394,0.0218001977723134,0.0952566708028773,12,0.0779423226812159,"B Cells, Memory"
"10","B Cells",18,4.88562201919647,1.88033991089168,3.96832886853302,0.238832680341759,3.37817761519991,0.347744742958112,5.04563452908895,0.262974187222768,0.185362096930336,0,0.249192635530045,0,0,1.42134366925532,0.00198000151984973,4.35748162449,0.539145307983699,0.443076217019304,0,0.324888731006588,0.0409290684494567,1.41251626165775,0.187492346124949,0,0.0974430512262301,1.09313353621794,2.94673636209561,0.284281687240612,0.0411064881445795,1.25264409723729,3.87633642788615,4.30942270536093,1.11166341033289,0.206317064188734,0.0306242748796525,0.00684760190419214,22,0.142894258248896,"B Cells, Naive"
